smartwatch_id,user_id,ratings,review,status,create_at,update_at,id
1,1,3,average,New,4/15/2021 14:47,4/15/2021 14:47,1
1,2,3.5,its ok,New,4/16/2021 14:47,4/16/2021 14:47,2
1,4,2.5,nice,New,4/17/2021 14:47,4/17/2021 14:47,3
1,5,2,good,New,4/18/2021 14:47,4/18/2021 14:47,4
1,7,3,bad,New,4/19/2021 14:47,4/19/2021 14:47,5
1,8,4,good,New,4/20/2021 14:47,4/20/2021 14:47,6
1,9,3.5,nice,New,4/21/2021 14:47,4/21/2021 14:47,7
1,10,2.5,its ok,New,4/22/2021 14:47,4/22/2021 14:47,8
1,11,3,average,New,4/23/2021 14:47,4/23/2021 14:47,9
1,12,5,nice,New,4/24/2021 14:47,4/24/2021 14:47,10
1,15,2,good,New,4/25/2021 14:47,4/25/2021 14:47,11
1,16,1.5,bad,New,4/26/2021 14:47,4/26/2021 14:47,12
1,17,5,good,New,4/27/2021 14:47,4/27/2021 14:47,13
1,19,4,average,New,4/28/2021 14:47,4/28/2021 14:47,14
1,20,2,nice,New,4/29/2021 14:47,4/29/2021 14:47,15
1,21,3,average,New,4/30/2021 14:47,4/30/2021 14:47,16
1,22,4.5,good,New,5/1/2021 14:47,5/1/2021 14:47,17
1,23,3.5,its ok,New,5/2/2021 14:47,5/2/2021 14:47,18
1,24,2.5,average,New,5/3/2021 14:47,5/3/2021 14:47,19
1,25,5,its ok,New,5/4/2021 14:47,5/4/2021 14:47,20
2,2,2,nice,New,5/5/2021 14:47,5/5/2021 14:47,21
2,10,2.5,good,New,5/6/2021 14:47,5/6/2021 14:47,22
2,12,4,bad,New,5/7/2021 14:47,5/7/2021 14:47,23
2,1,4.5,average,New,5/8/2021 14:47,5/8/2021 14:47,24
2,3,3,its ok,New,5/9/2021 14:47,5/9/2021 14:47,25
2,4,1,nice,New,5/10/2021 14:47,5/10/2021 14:47,26
2,5,3.5,good,New,5/11/2021 14:47,5/11/2021 14:47,27
2,6,4,bad,New,5/12/2021 14:47,5/12/2021 14:47,28
2,7,5,average,New,5/13/2021 14:47,5/13/2021 14:47,29
2,8,2.5,its ok,New,5/14/2021 14:47,5/14/2021 14:47,30
2,9,4.5,nice,New,5/15/2021 14:47,5/15/2021 14:47,31
2,14,3,good,New,5/16/2021 14:47,5/16/2021 14:47,32
2,16,2.5,bad,TRUE,5/17/2021 14:47,5/17/2021 14:47,33
2,17,1,average,TRUE,5/18/2021 14:47,5/18/2021 14:47,34
2,18,4.5,its ok,TRUE,5/19/2021 14:47,5/19/2021 14:47,35
2,19,5,nice,TRUE,5/20/2021 14:47,5/20/2021 14:47,36
2,23,3.5,good,TRUE,5/21/2021 14:47,5/21/2021 14:47,37
3,1,4.5,bad,TRUE,5/22/2021 14:47,5/22/2021 14:47,38
3,2,3,average,New,5/23/2021 14:47,5/23/2021 14:47,39
3,3,4,its ok,New,5/24/2021 14:47,5/24/2021 14:47,40
3,4,5,nice,New,5/25/2021 14:47,5/25/2021 14:47,41
